ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM10.TXT,0.47143,0.71429,0.56799,10
ROUGE-L,TASK1,ENGLISHSYSSUM8.TXT,0.56571,0.18182,0.27519,10
ROUGE-L,TASK1,ENGLISHSYSSUM7.TXT,0.47143,0.71429,0.56799,10
ROUGE-L,TASK1,ENGLISHSYSSUM9.TXT,0.56571,0.18182,0.27519,10
ROUGE-L,TASK1,ENGLISHSYSSUM5.TXT,0.59429,0.64000,0.61630,10
ROUGE-L,TASK1,ENGLISHSYSSUM6.TXT,0.56571,0.18182,0.27519,10
ROUGE-L,TASK1,ENGLISHSYSSUM1.TXT,0.59429,0.64000,0.61630,10
ROUGE-L,TASK1,ENGLISHSYSSUM4.TXT,0.56571,0.18182,0.27519,10
ROUGE-L,TASK1,ENGLISHSYSSUM3.TXT,0.47143,0.71429,0.56799,10
ROUGE-L,TASK1,ENGLISHSYSSUM2.TXT,0.56571,0.18182,0.27519,10
ROUGE-S1,TASK1,ENGLISHSYSSUM10.TXT,0.08606,0.20000,0.12034,10
ROUGE-S1,TASK1,ENGLISHSYSSUM8.TXT,0.00000,0.00000,0.00000,10
ROUGE-S1,TASK1,ENGLISHSYSSUM7.TXT,0.08606,0.20000,0.12034,10
ROUGE-S1,TASK1,ENGLISHSYSSUM9.TXT,0.00000,0.00000,0.00000,10
ROUGE-S1,TASK1,ENGLISHSYSSUM5.TXT,0.09939,0.15000,0.11956,10
ROUGE-S1,TASK1,ENGLISHSYSSUM6.TXT,0.00000,0.00000,0.00000,10
ROUGE-S1,TASK1,ENGLISHSYSSUM1.TXT,0.09939,0.15000,0.11956,10
ROUGE-S1,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,10
ROUGE-S1,TASK1,ENGLISHSYSSUM3.TXT,0.08606,0.20000,0.12034,10
ROUGE-S1,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,10
ROUGE-2,TASK1,ENGLISHSYSSUM10.TXT,0.08606,0.20000,0.12034,10
ROUGE-2,TASK1,ENGLISHSYSSUM8.TXT,0.00000,0.00000,0.00000,10
ROUGE-2,TASK1,ENGLISHSYSSUM7.TXT,0.08606,0.20000,0.12034,10
ROUGE-2,TASK1,ENGLISHSYSSUM9.TXT,0.00000,0.00000,0.00000,10
ROUGE-2,TASK1,ENGLISHSYSSUM5.TXT,0.09939,0.15000,0.11956,10
ROUGE-2,TASK1,ENGLISHSYSSUM6.TXT,0.00000,0.00000,0.00000,10
ROUGE-2,TASK1,ENGLISHSYSSUM1.TXT,0.09939,0.15000,0.11956,10
ROUGE-2,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,10
ROUGE-2,TASK1,ENGLISHSYSSUM3.TXT,0.08606,0.20000,0.12034,10
ROUGE-2,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,10
ROUGE-1,TASK1,ENGLISHSYSSUM10.TXT,0.43590,0.75000,0.55135,10
ROUGE-1,TASK1,ENGLISHSYSSUM8.TXT,0.65385,0.19565,0.30118,10
ROUGE-1,TASK1,ENGLISHSYSSUM7.TXT,0.43590,0.75000,0.55135,10
ROUGE-1,TASK1,ENGLISHSYSSUM9.TXT,0.65385,0.19565,0.30118,10
ROUGE-1,TASK1,ENGLISHSYSSUM5.TXT,0.60342,0.70000,0.64813,10
ROUGE-1,TASK1,ENGLISHSYSSUM6.TXT,0.65385,0.19565,0.30118,10
ROUGE-1,TASK1,ENGLISHSYSSUM1.TXT,0.60342,0.70000,0.64813,10
ROUGE-1,TASK1,ENGLISHSYSSUM4.TXT,0.65385,0.19565,0.30118,10
ROUGE-1,TASK1,ENGLISHSYSSUM3.TXT,0.43590,0.75000,0.55135,10
ROUGE-1,TASK1,ENGLISHSYSSUM2.TXT,0.65385,0.19565,0.30118,10
ROUGE-SU10,TASK1,ENGLISHSYSSUM10.TXT,0.16845,0.56250,0.25926,10
ROUGE-SU10,TASK1,ENGLISHSYSSUM8.TXT,0.37433,0.05865,0.10141,10
ROUGE-SU10,TASK1,ENGLISHSYSSUM7.TXT,0.16845,0.56250,0.25926,10
ROUGE-SU10,TASK1,ENGLISHSYSSUM9.TXT,0.37433,0.05865,0.10141,10
ROUGE-SU10,TASK1,ENGLISHSYSSUM5.TXT,0.23975,0.50000,0.32410,10
ROUGE-SU10,TASK1,ENGLISHSYSSUM6.TXT,0.37433,0.05865,0.10141,10
ROUGE-SU10,TASK1,ENGLISHSYSSUM1.TXT,0.23975,0.50000,0.32410,10
ROUGE-SU10,TASK1,ENGLISHSYSSUM4.TXT,0.37433,0.05865,0.10141,10
ROUGE-SU10,TASK1,ENGLISHSYSSUM3.TXT,0.16845,0.56250,0.25926,10
ROUGE-SU10,TASK1,ENGLISHSYSSUM2.TXT,0.37433,0.05865,0.10141,10
